서비스_업종_코드_명,공정위_업종_코드_명,평균가맹교육금액,평균가맹보증금액,평균가맹기타금액,합계금액
PC방,PC방,68,24,4932,5355
가구,기타도소매,110,582,3305,4346
가방,의류 / 패션,648,1000,9425,12759
가전제품,기타도소매,110,582,3305,4346
가전제품수리,기타 서비스,58,46,18524,18810
고시원,숙박,219,1032,297117,300122
골프연습장,스포츠 관련,188,301,5993,6979
네일숍,이미용,258,296,5516,6710
노래방,오락,120,155,8980,9664
당구장,스포츠 관련,188,301,5993,6979
문구,기타도소매,110,582,3305,4346
미곡판매,농수산물,280,325,7071,8235
미용실,이미용,258,296,5516,6710
반찬가게,한식,337,241,6531,7750
부동산중개업,부동산 중개 ,116,106,1286,1956
분식전문점,분식,144,97,2467,2991
서적,기타도소매,110,582,3305,4346
섬유제품,의류 / 패션,648,1000,9425,12759
세탁소,세탁,14,15,499,559
수산물판매,농수산물,280,325,7071,8235
슈퍼마켓,종합소매점,51,715,3721,4628
스포츠 강습,스포츠 관련,188,301,5993,6979
스포츠클럽,스포츠 관련,188,301,5993,6979
시계및귀금속,의류 / 패션,648,1000,9425,12759
신발,의류 / 패션,648,1000,9425,12759
안경,안경,26,76,2827,3093
애완동물,반려동물 관련,729,337,7822,10061
양식음식점,서양식,441,310,8606,10238
여관,숙박,219,1032,297117,300122
예술학원,기타 교육,150,114,2530,3336
완구,유아 관련 (교육 외),488,445,16477,19189
외국어학원,교육 (외국어),39,49,1081,1678
운동/경기용품,스포츠 관련,188,301,5993,6979
육류판매,농수산물,280,325,7071,8235
의료기기,기타도소매,110,582,3305,4346
의약품,약국,14,3,100,138
인테리어,기타도소매,110,582,3305,4346
일반교습학원,교육 (교과),18,49,485,699
일반의류,의류 / 패션,648,1000,9425,12759
일반의원,기타 서비스,58,46,18524,18810
일식음식점,일식,486,333,9234,11016
자동차미용,자동차 관련,67,49,1295,1504
자동차수리,자동차 관련,67,49,1295,1504
자전거 및 기타운송장비,기타도소매,110,582,3305,4346
전자상거래업,기타도소매,110,582,3305,4346
제과점,제과제빵,262,213,5878,6836
조명용품,기타도소매,110,582,3305,4346
중식음식점,중식,326,216,6492,7653
철물점,기타도소매,110,582,3305,4346
청과상,농수산물,280,325,7071,8235
치과의원,기타 서비스,58,46,18524,18810
치킨전문점,치킨,55,39,1031,1236
커피-음료,커피,109,86,2544,2943
컴퓨터및주변장치판매,기타도소매,110,582,3305,4346
패스트푸드점,패스트푸드,82,91,1978,2361
편의점,편의점,0,8,30,43
피부관리실,이미용,258,296,5516,6710
한식음식점,한식,337,241,6531,7750
한의원,기타 서비스,58,46,18524,18810
핸드폰,기타도소매,110,582,3305,4346
호프-간이주점,주점,222,123,4603,5365
화장품,화장품,37,42,1275,1489
화초,기타도소매,110,582,3305,4346
