행정구역,전체,1층,1층 외
서울시 전체,"141,666","160,800","122,532"
종로구,"194,758","224,314","165,202"
청운효자동,"126,013","174,717","77,310"
사직동,"190,504","239,208","141,800"
삼청동,"140,451","185,681","95,221"
부암동,"115,310","154,434","76,186"
평창동,"95,351","92,203","98,498"
무악동,,,
교남동,"188,029","151,734","224,323"
가회동,"169,345","213,986","124,703"
종로1·2·3·4가동,"208,133","272,164","144,102"
종로5·6가동,"267,960","258,064","277,856"
이화동,"117,587","161,453","73,721"
혜화동,"131,300","162,353","100,248"
창신1동,"211,461","259,965","162,957"
창신2동,"102,997","124,776","81,218"
창신3동,"83,228","108,267","58,189"
숭인1동,"102,181","117,254","87,108"
숭인2동,"151,070","174,700","127,440"
중구,"258,149","265,271","251,028"
소공동,"205,489","224,418","186,560"
회현동,"368,330","440,075","296,585"
명동,"207,052","240,369","173,735"
필동,"152,713","168,302","137,124"
장충동,"140,448","160,744","120,151"
광희동,"238,457","274,445","202,469"
을지로동,"178,104","239,684","116,523"
신당동,"388,166","329,066","447,266"
다산동,"152,283","169,617","134,949"
약수동,"209,845","235,555","184,136"
청구동,"123,787","142,425","105,150"
신당5동,"128,824","129,167","128,481"
동화동,"149,003","173,469","124,537"
황학동,"150,528","163,841","137,214"
중림동,"183,202","195,279","171,124"
용산구,"128,826","150,736","106,916"
후암동,"101,503","129,926","73,079"
용산2가동,"105,858","132,857","78,860"
남영동,"131,602","149,358","113,846"
청파동,"103,379","132,071","74,688"
원효로1동,"103,901","113,562","94,239"
원효로2동,"89,030","100,087","77,972"
효창동,"160,374","141,501","179,247"
용문동,"99,326","139,816","58,837"
한강로동,"140,278","162,520","118,036"
이촌1동,"222,729","293,468","151,989"
이촌2동,"86,727","79,805","93,649"
이태원1동,"174,824","199,949","149,699"
이태원2동,"149,547","185,480","113,613"
한남동,"158,319","203,525","113,114"
서빙고동,"77,040","85,198","68,882"
보광동,"79,801","102,645","56,957"
성동구,"134,516","149,157","119,875"
왕십리2동,"121,415","152,079","90,750"
왕십리도선동,"139,833","153,321","126,344"
마장동,"125,953","158,871","93,035"
사근동,"113,466","163,881","63,050"
행당1동,"147,801","142,582","153,020"
행당2동,"140,682","167,165","114,199"
응봉동,"87,923","90,972","84,874"
금호1가동,"102,830","132,224","73,437"
금호2·3가동,"126,704","164,562","88,845"
금호4가동,"135,824","162,452","109,197"
옥수동,"130,095","149,061","111,130"
성수1가1동,"118,733","143,423","94,043"
성수1가2동,"168,918","171,828","166,008"
성수2가1동,"103,720","119,089","88,351"
성수2가3동,"146,143","155,708","136,578"
송정동,"88,806","104,202","73,411"
용답동,"113,036","142,945","83,127"
광진구,"115,110","139,928","90,293"
화양동,"149,367","187,174","111,560"
군자동,"113,708","112,110","115,306"
중곡1동,"97,357","130,792","63,922"
중곡2동,"97,352","127,908","66,796"
중곡3동,"76,027","96,467","55,588"
중곡4동,"109,239","135,219","83,259"
능동,"122,912","154,188","91,635"
광장동,"139,461","190,150","88,773"
자양1동,"112,640","142,785","82,496"
자양2동,"89,618","109,903","69,333"
자양3동,"144,750","207,877","81,622"
자양4동,"116,982","136,182","97,782"
구의1동,"115,833","133,873","97,794"
구의2동,"118,525","120,499","116,551"
구의3동,"122,755","152,924","92,585"
동대문구,"100,243","124,269","76,217"
용신동,"91,047","110,413","71,681"
제기동,"107,099","144,797","69,400"
전농1동,"114,726","131,440","98,013"
전농2동,"74,091","100,510","47,673"
답십리1동,"111,564","136,075","87,053"
답십리2동,"96,098","120,238","71,958"
장안1동,"104,007","118,959","89,055"
장안2동,"83,021","108,553","57,490"
청량리동,"86,252","97,151","75,353"
회기동,"105,815","148,974","62,655"
휘경1동,"103,676","101,341","106,012"
휘경2동,"90,193","105,310","75,076"
이문1동,"101,972","146,950","56,994"
이문2동,"82,621","122,282","42,961"
중랑구,"88,218","111,442","64,994"
면목2동,"73,362","90,809","55,916"
면목4동,"67,041","79,064","55,018"
면목5동,"85,423","101,846","69,000"
면목본동,"80,620","116,597","44,644"
면목7동,"78,231","111,799","44,663"
면목3·8동,"91,433","114,727","68,138"
상봉1동,"97,477","126,998","67,956"
상봉2동,"117,799","135,080","100,519"
중화1동,"60,144","77,606","42,682"
중화2동,"87,633","122,553","52,713"
묵1동,"96,471","127,107","65,835"
묵2동,"90,895","90,177","91,613"
망우본동,"83,118","100,402","65,835"
