,yyyyq,admi_cd,admi_nm,upjong_nm,sales,cty_cd,city_name
0,20252,11110515,청운효자동,한식음식점,4146204890,11,서울시
1638,20252,11110515,청운효자동,일식음식점,294560156,11,서울시
3276,20252,11110515,청운효자동,양식음식점,2569981474,11,서울시
4914,20252,11110515,청운효자동,제과점,572726376,11,서울시
6552,20252,11110515,청운효자동,치킨전문점,155368679,11,서울시
8190,20252,11110515,청운효자동,분식전문점,484083611,11,서울시
9828,20252,11110515,청운효자동,호프-간이주점,135976543,11,서울시
11466,20252,11110515,청운효자동,커피-음료,4603714789,11,서울시
13104,20252,11110515,청운효자동,일반교습학원,366187717,11,서울시
14742,20252,11110515,청운효자동,스포츠 강습,134835079,11,서울시
16380,20252,11110515,청운효자동,일반의원,478248945,11,서울시
18018,20252,11110515,청운효자동,자동차미용,241513126,11,서울시
19656,20252,11110515,청운효자동,미용실,295758737,11,서울시
21294,20252,11110515,청운효자동,피부관리실,12788637,11,서울시
22932,20252,11110515,청운효자동,세탁소,108115457,11,서울시
24570,20252,11110515,청운효자동,가전제품수리,5591701,11,서울시
26208,20252,11110515,청운효자동,슈퍼마켓,1427541623,11,서울시
27846,20252,11110515,청운효자동,편의점,1074308701,11,서울시
29484,20252,11110515,청운효자동,미곡판매,22836722,11,서울시
31122,20252,11110515,청운효자동,육류판매,299446299,11,서울시
32760,20252,11110515,청운효자동,수산물판매,50883874,11,서울시
34398,20252,11110515,청운효자동,청과상,868027101,11,서울시
36036,20252,11110515,청운효자동,반찬가게,269923196,11,서울시
37674,20252,11110515,청운효자동,일반의류,880538967,11,서울시
39312,20252,11110515,청운효자동,신발,24000000,11,서울시
40950,20252,11110515,청운효자동,의약품,831156761,11,서울시
42588,20252,11110515,청운효자동,서적,4263000000,11,서울시
44226,20252,11110515,청운효자동,문구,2552227,11,서울시
45864,20252,11110515,청운효자동,섬유제품,30734977,11,서울시
47502,20252,11110515,청운효자동,화초,302352339,11,서울시
49140,20252,11110515,청운효자동,인테리어,147555579,11,서울시
50778,20252,11110530,사직동,한식음식점,42127385109,11,서울시
52416,20252,11110530,사직동,중식음식점,2889571119,11,서울시
54054,20252,11110530,사직동,일식음식점,2778679775,11,서울시
55692,20252,11110530,사직동,양식음식점,6271476908,11,서울시
57330,20252,11110530,사직동,제과점,1532132978,11,서울시
58968,20252,11110530,사직동,패스트푸드점,1050246230,11,서울시
60606,20252,11110530,사직동,치킨전문점,383837274,11,서울시
62244,20252,11110530,사직동,분식전문점,3134482038,11,서울시
63882,20252,11110530,사직동,호프-간이주점,6507622384,11,서울시
65520,20252,11110530,사직동,커피-음료,12737397038,11,서울시
67158,20252,11110530,사직동,일반교습학원,1044636947,11,서울시
68796,20252,11110530,사직동,예술학원,227250027,11,서울시
70434,20252,11110530,사직동,스포츠 강습,939148381,11,서울시
72072,20252,11110530,사직동,일반의원,1886075583,11,서울시
73710,20252,11110530,사직동,치과의원,2051488583,11,서울시
75348,20252,11110530,사직동,한의원,823381315,11,서울시
76986,20252,11110530,사직동,당구장,50877240,11,서울시
78624,20252,11110530,사직동,스포츠클럽,1219075110,11,서울시
80262,20252,11110530,사직동,자동차수리,270473078,11,서울시
81900,20252,11110530,사직동,미용실,361308223,11,서울시
83538,20252,11110530,사직동,네일숍,66293410,11,서울시
85176,20252,11110530,사직동,피부관리실,115412755,11,서울시
86814,20252,11110530,사직동,세탁소,40287854,11,서울시
88452,20252,11110530,사직동,여관,73648864,11,서울시
90090,20252,11110530,사직동,노래방,281760388,11,서울시
91728,20252,11110530,사직동,슈퍼마켓,2432080819,11,서울시
93366,20252,11110530,사직동,편의점,4726124662,11,서울시
95004,20252,11110530,사직동,핸드폰,20002056,11,서울시
96642,20252,11110530,사직동,미곡판매,152387277,11,서울시
98280,20252,11110530,사직동,육류판매,383995208,11,서울시
99918,20252,11110530,사직동,청과상,182922281,11,서울시
101556,20252,11110530,사직동,반찬가게,195000000,11,서울시
103194,20252,11110530,사직동,일반의류,1544060839,11,서울시
104832,20252,11110530,사직동,가방,93000000,11,서울시
106470,20252,11110530,사직동,안경,283827004,11,서울시
108108,20252,11110530,사직동,시계및귀금속,69704711,11,서울시
109746,20252,11110530,사직동,의약품,371458370,11,서울시
111384,20252,11110530,사직동,의료기기,2921488946,11,서울시
113022,20252,11110530,사직동,서적,338150047,11,서울시
114660,20252,11110530,사직동,문구,1829433726,11,서울시
116298,20252,11110530,사직동,화장품,2691406936,11,서울시
117936,20252,11110530,사직동,화초,274107572,11,서울시
119574,20252,11110530,사직동,가전제품,402415814,11,서울시
121212,20252,11110530,사직동,전자상거래업,14000000,11,서울시
122850,20252,11110540,삼청동,한식음식점,11397731283,11,서울시
124488,20252,11110540,삼청동,양식음식점,3988899244,11,서울시
126126,20252,11110540,삼청동,제과점,4111501946,11,서울시
127764,20252,11110540,삼청동,패스트푸드점,186698454,11,서울시
129402,20252,11110540,삼청동,분식전문점,1672155352,11,서울시
131040,20252,11110540,삼청동,호프-간이주점,1052646079,11,서울시
132678,20252,11110540,삼청동,커피-음료,10137624187,11,서울시
134316,20252,11110540,삼청동,일반의원,278219190,11,서울시
135954,20252,11110540,삼청동,슈퍼마켓,778739027,11,서울시
137592,20252,11110540,삼청동,편의점,683270823,11,서울시
139230,20252,11110540,삼청동,반찬가게,650582804,11,서울시
140868,20252,11110540,삼청동,일반의류,7901426017,11,서울시
142506,20252,11110540,삼청동,신발,312679463,11,서울시
144144,20252,11110540,삼청동,시계및귀금속,392689222,11,서울시
145782,20252,11110540,삼청동,의약품,281904113,11,서울시
147420,20252,11110540,삼청동,서적,403507020,11,서울시
149058,20252,11110540,삼청동,화장품,702338787,11,서울시
150696,20252,11110540,삼청동,화초,50641660,11,서울시
152334,20252,11110540,삼청동,가구,249000000,11,서울시
153972,20252,11110540,삼청동,전자상거래업,315912219,11,서울시
155610,20252,11110550,부암동,한식음식점,1083393376,11,서울시
157248,20252,11110550,부암동,중식음식점,68165506,11,서울시
158886,20252,11110550,부암동,양식음식점,968767148,11,서울시
160524,20252,11110550,부암동,제과점,363753351,11,서울시
162162,20252,11110550,부암동,패스트푸드점,100759480,11,서울시
163800,20252,11110550,부암동,분식전문점,113941202,11,서울시
165438,20252,11110550,부암동,호프-간이주점,61900852,11,서울시
167076,20252,11110550,부암동,커피-음료,843272798,11,서울시
168714,20252,11110550,부암동,일반교습학원,596040733,11,서울시
170352,20252,11110550,부암동,예술학원,79389933,11,서울시
171990,20252,11110550,부암동,스포츠 강습,113726067,11,서울시
173628,20252,11110550,부암동,스포츠클럽,26251309,11,서울시
175266,20252,11110550,부암동,자동차수리,1927872504,11,서울시
176904,20252,11110550,부암동,미용실,50549137,11,서울시
178542,20252,11110550,부암동,세탁소,41350906,11,서울시
180180,20252,11110550,부암동,여관,3506137,11,서울시
181818,20252,11110550,부암동,슈퍼마켓,77377138,11,서울시
183456,20252,11110550,부암동,편의점,856155781,11,서울시
185094,20252,11110550,부암동,반찬가게,6752309,11,서울시
186732,20252,11110550,부암동,일반의류,615319322,11,서울시
188370,20252,11110550,부암동,서적,12778476,11,서울시
190008,20252,11110550,부암동,화초,14375170,11,서울시
191646,20252,11110560,평창동,한식음식점,2969119627,11,서울시
193284,20252,11110560,평창동,일식음식점,60885754,11,서울시
194922,20252,11110560,평창동,양식음식점,145841925,11,서울시
196560,20252,11110560,평창동,제과점,357000943,11,서울시
198198,20252,11110560,평창동,패스트푸드점,110537635,11,서울시
199836,20252,11110560,평창동,분식전문점,292935180,11,서울시
201474,20252,11110560,평창동,호프-간이주점,382362436,11,서울시
203112,20252,11110560,평창동,커피-음료,304193961,11,서울시
204750,20252,11110560,평창동,일반교습학원,445755740,11,서울시
206388,20252,11110560,평창동,예술학원,4666667,11,서울시
208026,20252,11110560,평창동,스포츠 강습,370746446,11,서울시
209664,20252,11110560,평창동,일반의원,362202647,11,서울시
211302,20252,11110560,평창동,치과의원,196725631,11,서울시
212940,20252,11110560,평창동,한의원,5700448,11,서울시
214578,20252,11110560,평창동,자동차수리,30007454,11,서울시
216216,20252,11110560,평창동,미용실,56459895,11,서울시
217854,20252,11110560,평창동,피부관리실,14210526,11,서울시
219492,20252,11110560,평창동,세탁소,135274431,11,서울시
221130,20252,11110560,평창동,여관,46273639,11,서울시
222768,20252,11110560,평창동,슈퍼마켓,1017475830,11,서울시
224406,20252,11110560,평창동,편의점,582111853,11,서울시
226044,20252,11110560,평창동,육류판매,393038547,11,서울시
227682,20252,11110560,평창동,일반의류,66179744,11,서울시
229320,20252,11110560,평창동,의약품,219882328,11,서울시
230958,20252,11110560,평창동,문구,7927392,11,서울시
232596,20252,11110560,평창동,애완동물,539923,11,서울시
234234,20252,11110570,무악동,한식음식점,709449147,11,서울시
235872,20252,11110570,무악동,제과점,375051176,11,서울시
237510,20252,11110570,무악동,치킨전문점,32779663,11,서울시
239148,20252,11110570,무악동,분식전문점,12000000,11,서울시
240786,20252,11110570,무악동,호프-간이주점,63000000,11,서울시
242424,20252,11110570,무악동,커피-음료,60407192,11,서울시
244062,20252,11110570,무악동,일반교습학원,7260275,11,서울시
245700,20252,11110570,무악동,치과의원,170576632,11,서울시
247338,20252,11110570,무악동,미용실,63420011,11,서울시
248976,20252,11110570,무악동,슈퍼마켓,1072565759,11,서울시
250614,20252,11110570,무악동,편의점,810608667,11,서울시
252252,20252,11110570,무악동,의약품,4348691969,11,서울시
253890,20252,11110580,교남동,한식음식점,2299764568,11,서울시
255528,20252,11110580,교남동,중식음식점,680168876,11,서울시
257166,20252,11110580,교남동,일식음식점,288000000,11,서울시
258804,20252,11110580,교남동,제과점,169820249,11,서울시
260442,20252,11110580,교남동,패스트푸드점,43522544,11,서울시
262080,20252,11110580,교남동,치킨전문점,43451327,11,서울시
263718,20252,11110580,교남동,분식전문점,19331697,11,서울시
265356,20252,11110580,교남동,커피-음료,133565901,11,서울시
266994,20252,11110580,교남동,일반교습학원,156624146,11,서울시
268632,20252,11110580,교남동,스포츠 강습,64968783,11,서울시
270270,20252,11110580,교남동,일반의원,890862618,11,서울시
271908,20252,11110580,교남동,치과의원,21760938,11,서울시
273546,20252,11110580,교남동,한의원,137412409,11,서울시
275184,20252,11110580,교남동,미용실,23811222,11,서울시
276822,20252,11110580,교남동,슈퍼마켓,670396222,11,서울시
278460,20252,11110580,교남동,편의점,398303583,11,서울시
280098,20252,11110580,교남동,의약품,3987776601,11,서울시
281736,20252,11110580,교남동,의료기기,14168599,11,서울시
283374,20252,11110600,가회동,한식음식점,9898870309,11,서울시
285012,20252,11110600,가회동,일식음식점,1021712427,11,서울시
286650,20252,11110600,가회동,양식음식점,5381713100,11,서울시
288288,20252,11110600,가회동,제과점,422343229,11,서울시
289926,20252,11110600,가회동,패스트푸드점,74194507,11,서울시
291564,20252,11110600,가회동,치킨전문점,225079510,11,서울시
293202,20252,11110600,가회동,분식전문점,1082100929,11,서울시
294840,20252,11110600,가회동,호프-간이주점,1907931425,11,서울시
296478,20252,11110600,가회동,커피-음료,7487467952,11,서울시
298116,20252,11110600,가회동,일반교습학원,129000000,11,서울시
299754,20252,11110600,가회동,스포츠 강습,296227766,11,서울시
301392,20252,11110600,가회동,한의원,239010626,11,서울시
303030,20252,11110600,가회동,당구장,2481119,11,서울시
304668,20252,11110600,가회동,미용실,56580947,11,서울시
306306,20252,11110600,가회동,노래방,38968459,11,서울시
307944,20252,11110600,가회동,슈퍼마켓,634794697,11,서울시
309582,20252,11110600,가회동,편의점,872904544,11,서울시
311220,20252,11110600,가회동,반찬가게,128823529,11,서울시
312858,20252,11110600,가회동,일반의류,581233686,11,서울시
314496,20252,11110600,가회동,가방,24971751,11,서울시
316134,20252,11110600,가회동,시계및귀금속,368501620,11,서울시
317772,20252,11110600,가회동,문구,102991133,11,서울시
319410,20252,11110600,가회동,화초,13765569,11,서울시
321048,20252,11110615,종로1?2?3?4가동,한식음식점,112123853794,11,서울시
322686,20252,11110615,종로1?2?3?4가동,중식음식점,7970526798,11,서울시
324324,20252,11110615,종로1?2?3?4가동,일식음식점,9457473642,11,서울시
325962,20252,11110615,종로1?2?3?4가동,양식음식점,9104749691,11,서울시
327600,20252,11110615,종로1?2?3?4가동,제과점,4215009731,11,서울시
329238,20252,11110615,종로1?2?3?4가동,패스트푸드점,1941907958,11,서울시
330876,20252,11110615,종로1?2?3?4가동,치킨전문점,3065024542,11,서울시
332514,20252,11110615,종로1?2?3?4가동,분식전문점,5876398239,11,서울시
334152,20252,11110615,종로1?2?3?4가동,호프-간이주점,36663622256,11,서울시
335790,20252,11110615,종로1?2?3?4가동,커피-음료,24124908276,11,서울시
337428,20252,11110615,종로1?2?3?4가동,일반교습학원,693302013,11,서울시
339066,20252,11110615,종로1?2?3?4가동,외국어학원,2260539155,11,서울시
340704,20252,11110615,종로1?2?3?4가동,예술학원,268021553,11,서울시
