"생활밀접업종별(1)",생활밀접업종별(2),2023,2023,2023,2023,2023
"생활밀접업종별(1)",생활밀접업종별(2),0명,1명,2명,3명,4명
"서울시",소계,72144,485,276,132,105
"외식업",소계,26247,229,141,72,71
"외식업",한식음식점,8881,83,58,19,24
"외식업",중식음식점,1128,8,20,X,X
"외식업",일식음식점,1148,7,8,4,4
"외식업",양식음식점,1414,12,14,3,6
"외식업",제과점,1137,10,5,X,X
"외식업",패스트푸드점,1270,12,4,6,17
"외식업",치킨전문점,1267,23,X,8,X
"외식업",분식전문점,2135,11,5,3,5
"외식업",호프-간이주점,2932,17,X,X,X
"외식업",커피-음료,4935,46,23,15,11
"서비스업",소계,20506,99,58,20,19
"서비스업",일반교습학원,2500,5,X,X,4
"서비스업",외국어학원,253,3,0,0,0
"서비스업",예술학원,1088,0,X,X,0
"서비스업",컴퓨터학원,45,0,0,0,0
"서비스업",스포츠 강습,1004,6,X,X,X
"서비스업",일반의원,322,6,8,X,X
"서비스업",치과의원,189,3,X,X,X
"서비스업",한의원,186,0,8,X,X
"서비스업",동물병원,28,0,0,0,0
"서비스업",변호사사무소,357,3,X,X,X
"서비스업",변리사사무소,27,0,0,0,0
"서비스업",법무사사무소,91,0,0,0,0
"서비스업",기타법무서비스,162,X,X,0,0
"서비스업",회계사사무소,28,X,X,0,0
"서비스업",세무사사무소,238,3,X,0,X
"서비스업",당구장,621,X,X,0,0
"서비스업",골프연습장,181,X,X,0,0
"서비스업",볼링장,11,0,0,0,0
"서비스업",PC방,325,5,3,0,0
"서비스업",전자게임장,86,X,X,0,X
"서비스업",기타오락장,315,0,0,0,0
"서비스업",복권방,57,0,X,X,0
"서비스업",통신기기수리,56,0,0,0,0
"서비스업",스포츠클럽,486,X,X,0,X
"서비스업",자동차수리,212,0,X,X,X
"서비스업",자동차미용,204,X,X,X,0
"서비스업",모터사이클수리,51,X,X,0,0
"서비스업",미용실,1474,0,X,X,0
"서비스업",네일숍,457,X,X,0,0
"서비스업",피부관리실,790,0,4,0,0
"서비스업",세탁소,445,0,0,0,0
"서비스업",가전제품수리,221,0,0,0,0
"서비스업",부동산중개업,4218,28,4,X,X
"서비스업",여관,277,X,X,0,0
"서비스업",게스트하우스,110,X,X,0,0
"서비스업",고시원,25,0,0,0,0
"서비스업",노래방,845,X,X,0,0
"서비스업",독서실,631,8,4,X,X
"서비스업",DVD방,8,0,0,0,0
"서비스업",녹음실,72,X,X,0,0
"서비스업",사진관,554,X,X,0,0
"서비스업",통번역서비스,206,0,0,0,0
"서비스업",건축물청소,475,4,0,0,0
"서비스업",여행사,402,8,4,0,0
"서비스업",비디오/서적임대,30,0,0,0,0
"서비스업",의류임대,62,0,0,0,0
"서비스업",가정용품임대,81,0,0,0,0
"소매업",소계,25391,157,77,40,15
"소매업",슈퍼마켓,1442,3,3,X,X
"소매업",편의점,1334,8,X,X,0
"소매업",컴퓨터및주변장치판매,488,5,X,X,X
"소매업",핸드폰,836,12,8,5,7
"소매업",주류도매,53,X,X,0,0
"소매업",미곡판매,225,3,0,X,X
"소매업",육류판매,846,12,4,X,X
"소매업",수산물판매,514,3,X,X,0
"소매업",청과상,851,5,X,0,X
"소매업",반찬가게,977,8,3,0,0
"소매업",일반의류,4821,33,15,14,3
"소매업",한복점,25,0,0,0,0
"소매업",유아의류,224,X,X,0,0
"소매업",신발,492,3,3,X,X
"소매업",가방,279,X,3,X,0
"소매업",안경,138,X,0,X,0
"소매업",시계및귀금속,292,X,X,0,0
"소매업",의약품,554,6,X,X,0
"소매업",의료기기,274,5,0,0,0
"소매업",서적,327,X,X,0,0
"소매업",문구,355,X,X,0,0
"소매업",화장품,1534,14,12,X,X
"소매업",미용재료,107,0,0,0,0
"소매업",운동/경기용품,252,4,X,X,0
"소매업",자전거 및 기타운송장비,54,0,X,X,0
"소매업",완구,73,X,X,0,0
"소매업",섬유제품,197,0,0,0,0
"소매업",화초,487,3,0,0,0
"소매업",애완동물,290,0,X,X,0
"소매업",중고가구,21,0,0,0,0
"소매업",가구,283,0,X,X,0
"소매업",가전제품,133,0,X,X,0
"소매업",철물점,140,0,0,0,0
"소매업",악기,31,0,0,0,0
"소매업",인테리어,328,X,X,X,0
"소매업",조명용품,445,10,4,X,X
"소매업",중고차판매,89,3,X,X,0
"소매업",자동차부품,189,3,X,X,0
"소매업",모터사이클및부품,48,X,X,0,0
"소매업",재생용품 판매점,56,X,X,0,0
"소매업",예술품,147,0,0,0,0
"소매업",주유소,51,0,0,X,X
"소매업",전자상거래업,5089,X,X,X,0
